Date,Holidays
02-03-2012,1
01-04-2012,1
12-04-2012,1
14-04-2012,1
21-04-2012,1
12-05-2012,1
23-06-2012,1
25-06-2012,3
03-07-2012,2
23-07-2012,1
05-08-2012,1
10-08-2012,1
15-08-2012,1
24-08-2012,1
28-09-2012,1
07-10-2012,1
09-10-2012,1
12-10-2012,1
02-11-2012,1
03-11-2012,1
06-11-2012,1
07-11-2012,1
10-11-2012,1
11-11-2012,1
12-11-2012,1
05-12-2012,1
06-12-2012,1
08-12-2012,1
21-12-2012,1
22-12-2012,2
23-12-2012,1
24-12-2012,2
25-12-2012,1
26-12-2012,1
31-12-2012,2
01-01-2013,1
05-01-2013,1
12-01-2013,1
11-02-2013,1
12-02-2013,1
02-03-2013,1
01-04-2013,1
12-04-2013,1
14-04-2013,1
21-04-2013,1
29-04-2013,1
01-05-2013,1
11-05-2013,1
12-05-2013,2
24-05-2013,1
23-06-2013,1
25-06-2013,3
03-07-2013,2
23-07-2013,1
24-07-2013,1
25-07-2013,1
05-08-2013,1
10-08-2013,1
15-08-2013,1
24-08-2013,1
28-09-2013,1
07-10-2013,1
09-10-2013,1
11-10-2013,1
02-11-2013,1
03-11-2013,1
06-11-2013,1
07-11-2013,1
10-11-2013,1
11-11-2013,1
12-11-2013,1
05-12-2013,1
06-12-2013,1
08-12-2013,1
21-12-2013,1
22-12-2013,2
23-12-2013,1
24-12-2013,1
25-12-2013,1
26-12-2013,1
31-12-2013,1
01-01-2014,1
02-03-2014,1
03-03-2014,1
04-03-2014,1
01-04-2014,1
12-04-2014,1
14-04-2014,1
18-04-2014,1
21-04-2014,1
01-05-2014,1
10-05-2014,1
11-05-2014,1
12-05-2014,1
24-05-2014,1
12-06-2014,1
15-06-2014,1
20-06-2014,1
23-06-2014,1
25-06-2014,4
28-06-2014,1
29-06-2014,1
30-06-2014,1
01-07-2014,1
03-07-2014,2
04-07-2014,1
05-07-2014,1
08-07-2014,1
09-07-2014,1
12-07-2014,1
13-07-2014,1
23-07-2014,1
24-07-2014,1
25-07-2014,1
05-08-2014,1
10-08-2014,1
15-08-2014,1
24-08-2014,1
28-09-2014,1
07-10-2014,1
09-10-2014,1
10-10-2014,1
02-11-2014,1
03-11-2014,1
06-11-2014,1
07-11-2014,1
10-11-2014,1
11-11-2014,1
12-11-2014,1
28-11-2014,1
01-12-2014,1
05-12-2014,1
06-12-2014,1
08-12-2014,1
20-12-2014,1
21-12-2014,1
22-12-2014,2
23-12-2014,1
24-12-2014,1
25-12-2014,1
26-12-2014,2
31-12-2014,1
01-01-2015,1
02-01-2015,1
10-01-2015,1
16-02-2015,1
17-02-2015,1
02-03-2015,1
01-04-2015,1
03-04-2015,1
12-04-2015,1
14-04-2015,1
21-04-2015,1
01-05-2015,1
09-05-2015,1
10-05-2015,1
12-05-2015,1
24-05-2015,1
23-06-2015,1
25-06-2015,3
03-07-2015,2
23-07-2015,1
24-07-2015,1
25-07-2015,1
05-08-2015,1
10-08-2015,1
15-08-2015,1
24-08-2015,1
28-09-2015,1
07-10-2015,1
09-10-2015,1
02-11-2015,1
03-11-2015,1
06-11-2015,1
07-11-2015,1
10-11-2015,1
11-11-2015,1
12-11-2015,1
27-11-2015,1
30-11-2015,1
05-12-2015,1
06-12-2015,1
08-12-2015,1
21-12-2015,1
22-12-2015,2
23-12-2015,1
24-12-2015,1
25-12-2015,1
26-12-2015,1
31-12-2015,1
01-01-2016,1
08-02-2016,1
09-02-2016,1
02-03-2016,1
25-03-2016,1
01-04-2016,1
12-04-2016,1
14-04-2016,1
16-04-2016,1
17-04-2016,1
18-04-2016,1
19-04-2016,1
20-04-2016,1
21-04-2016,2
22-04-2016,1
23-04-2016,1
24-04-2016,1
25-04-2016,1
26-04-2016,1
27-04-2016,1
28-04-2016,1
29-04-2016,1
30-04-2016,1
01-05-2016,2
02-05-2016,1
03-05-2016,1
04-05-2016,1
05-05-2016,1
06-05-2016,1
07-05-2016,2
08-05-2016,2
09-05-2016,1
10-05-2016,1
11-05-2016,1
12-05-2016,2
13-05-2016,1
14-05-2016,1
15-05-2016,1
16-05-2016,1
24-05-2016,1
27-05-2016,1
23-06-2016,1
25-06-2016,3
03-07-2016,2
23-07-2016,1
24-07-2016,2
25-07-2016,1
05-08-2016,1
10-08-2016,1
12-08-2016,1
15-08-2016,1
24-08-2016,1
28-09-2016,1
07-10-2016,1
09-10-2016,1
02-11-2016,1
03-11-2016,1
04-11-2016,1
06-11-2016,1
07-11-2016,1
10-11-2016,1
11-11-2016,1
12-11-2016,2
25-11-2016,1
28-11-2016,1
05-12-2016,1
06-12-2016,1
08-12-2016,1
21-12-2016,1
22-12-2016,2
23-12-2016,1
24-12-2016,1
25-12-2016,1
26-12-2016,1
31-12-2016,1
01-01-2017,1
02-01-2017,1
27-02-2017,1
28-02-2017,1
02-03-2017,1
01-04-2017,1
12-04-2017,1
13-04-2017,1
14-04-2017,2
21-04-2017,1
01-05-2017,1
12-05-2017,1
13-05-2017,1
14-05-2017,1
24-05-2017,1
26-05-2017,1
23-06-2017,1
25-06-2017,3
03-07-2017,2
23-07-2017,1
24-07-2017,1
25-07-2017,1
05-08-2017,1
10-08-2017,1
11-08-2017,1
15-08-2017,1
24-08-2017,1
28-09-2017,1
29-09-2017,1
07-10-2017,1
09-10-2017,1
02-11-2017,1
03-11-2017,1
06-11-2017,1
07-11-2017,1
10-11-2017,1
11-11-2017,1
12-11-2017,1
05-12-2017,1
06-12-2017,1
08-12-2017,2
21-12-2017,1
22-12-2017,2
23-12-2017,1
24-12-2017,1
25-12-2017,1
26-12-2017,1
