date,transactions
31-12-2014,126952
01-01-2015,2202
02-01-2015,96809
03-01-2015,96288
04-01-2015,94496
05-01-2015,88880
06-01-2015,82581
07-01-2015,83804
08-01-2015,77474
09-01-2015,79379
10-01-2015,92717
11-01-2015,94679
12-01-2015,79557
13-01-2015,75846
14-01-2015,77003
15-01-2015,73949
16-01-2015,76133
17-01-2015,96331
18-01-2015,92139
19-01-2015,77981
20-01-2015,75810
21-01-2015,77316
22-01-2015,73150
23-01-2015,76086
24-01-2015,94292
25-01-2015,89418
26-01-2015,74534
27-01-2015,71018
28-01-2015,73108
29-01-2015,70000
30-01-2015,79491
31-01-2015,96588
01-02-2015,98364
02-02-2015,84117
03-02-2015,80387
04-02-2015,80565
05-02-2015,78116
06-02-2015,79259
07-02-2015,94991
08-02-2015,88360
09-02-2015,79999
10-02-2015,76983
11-02-2015,78118
12-02-2015,78137
13-02-2015,95708
14-02-2015,105818
15-02-2015,77512
16-02-2015,75439
17-02-2015,79643
18-02-2015,85992
19-02-2015,78446
20-02-2015,84726
21-02-2015,92718
22-02-2015,95074
23-02-2015,76355
24-02-2015,76065
25-02-2015,75253
26-02-2015,71797
27-02-2015,80395
28-02-2015,97647
01-03-2015,100885
02-03-2015,84649
03-03-2015,83100
04-03-2015,84199
05-03-2015,79040
06-03-2015,82542
07-03-2015,102516
08-03-2015,95738
09-03-2015,83173
10-03-2015,82922
11-03-2015,80024
12-03-2015,75430
13-03-2015,80200
14-03-2015,98468
15-03-2015,93123
16-03-2015,81430
17-03-2015,77689
18-03-2015,75660
19-03-2015,74414
20-03-2015,83777
21-03-2015,99233
22-03-2015,93794
23-03-2015,80606
24-03-2015,77293
25-03-2015,77842
26-03-2015,73600
27-03-2015,80951
28-03-2015,94064
29-03-2015,91104
30-03-2015,77318
31-03-2015,80716
01-04-2015,89824
02-04-2015,90983
03-04-2015,85946
04-04-2015,99813
05-04-2015,91181
06-04-2015,85469
07-04-2015,81779
08-04-2015,81262
09-04-2015,76461
10-04-2015,81510
11-04-2015,97337
12-04-2015,95678
13-04-2015,82116
14-04-2015,75244
15-04-2015,80265
16-04-2015,77637
17-04-2015,80726
18-04-2015,99304
19-04-2015,94790
20-04-2015,82615
21-04-2015,78187
22-04-2015,78529
23-04-2015,75289
24-04-2015,79301
25-04-2015,95572
26-04-2015,90784
27-04-2015,77486
28-04-2015,73013
29-04-2015,75690
30-04-2015,79564
01-05-2015,94567
02-05-2015,100716
03-05-2015,94618
04-05-2015,84198
05-05-2015,82729
06-05-2015,83390
07-05-2015,80437
08-05-2015,85892
09-05-2015,115616
10-05-2015,95869
11-05-2015,81414
12-05-2015,77407
13-05-2015,75555
14-05-2015,72043
15-05-2015,80107
16-05-2015,99115
17-05-2015,97521
18-05-2015,80398
19-05-2015,76783
20-05-2015,78779
21-05-2015,74029
22-05-2015,78307
23-05-2015,95351
24-05-2015,93816
25-05-2015,77956
26-05-2015,74097
27-05-2015,76164
28-05-2015,73171
29-05-2015,83081
30-05-2015,102728
31-05-2015,108057
01-06-2015,91732
02-06-2015,84760
03-06-2015,82916
04-06-2015,79588
05-06-2015,83671
06-06-2015,99584
07-06-2015,98730
08-06-2015,81106
09-06-2015,78401
10-06-2015,77775
11-06-2015,73723
12-06-2015,79332
13-06-2015,95583
14-06-2015,93452
15-06-2015,79423
16-06-2015,80948
17-06-2015,80273
18-06-2015,76902
19-06-2015,83715
20-06-2015,108362
21-06-2015,92077
22-06-2015,81755
23-06-2015,78858
24-06-2015,74979
25-06-2015,72661
26-06-2015,78165
27-06-2015,92052
28-06-2015,93170
29-06-2015,76946
30-06-2015,80264
01-07-2015,89117
02-07-2015,83862
03-07-2015,88101
04-07-2015,102116
05-07-2015,94248
06-07-2015,86147
07-07-2015,76716
08-07-2015,84116
09-07-2015,79197
10-07-2015,81733
11-07-2015,91861
12-07-2015,90004
13-07-2015,80081
14-07-2015,76798
15-07-2015,80203
16-07-2015,77483
17-07-2015,82400
18-07-2015,93463
19-07-2015,89543
20-07-2015,82542
21-07-2015,78316
22-07-2015,77969
23-07-2015,74744
24-07-2015,83784
25-07-2015,92906
26-07-2015,90148
27-07-2015,80240
28-07-2015,77193
29-07-2015,78724
30-07-2015,75122
31-07-2015,85907
01-08-2015,105307
02-08-2015,97134
03-08-2015,89639
04-08-2015,85613
05-08-2015,84912
06-08-2015,80008
07-08-2015,85461
08-08-2015,93044
09-08-2015,79233
10-08-2015,87127
11-08-2015,82118
12-08-2015,82224
13-08-2015,77320
14-08-2015,85068
15-08-2015,101204
16-08-2015,91810
17-08-2015,84497
18-08-2015,81121
19-08-2015,81318
20-08-2015,78717
21-08-2015,85259
22-08-2015,94782
23-08-2015,89641
24-08-2015,82462
25-08-2015,78984
26-08-2015,78623
27-08-2015,75910
28-08-2015,81668
29-08-2015,96050
30-08-2015,92502
31-08-2015,86301
01-09-2015,90485
02-09-2015,88953
03-09-2015,83192
04-09-2015,84429
05-09-2015,103308
06-09-2015,100483
07-09-2015,85728
08-09-2015,81290
09-09-2015,81083
10-09-2015,76378
11-09-2015,80722
12-09-2015,96719
13-09-2015,94872
14-09-2015,80058
15-09-2015,80367
16-09-2015,81886
17-09-2015,75483
18-09-2015,80610
19-09-2015,97499
20-09-2015,94345
21-09-2015,81429
22-09-2015,77608
23-09-2015,78775
24-09-2015,73545
25-09-2015,79507
26-09-2015,94388
27-09-2015,92915
28-09-2015,77182
29-09-2015,74165
30-09-2015,77848
01-10-2015,83792
02-10-2015,87428
03-10-2015,105572
04-10-2015,100646
05-10-2015,86220
06-10-2015,80330
07-10-2015,81073
08-10-2015,78172
09-10-2015,90250
10-10-2015,94991
11-10-2015,90881
12-10-2015,80029
13-10-2015,72375
14-10-2015,76395
15-10-2015,75010
16-10-2015,83029
17-10-2015,98871
18-10-2015,96231
19-10-2015,79787
20-10-2015,78289
21-10-2015,78173
22-10-2015,73095
23-10-2015,78019
24-10-2015,93418
25-10-2015,93799
26-10-2015,76122
27-10-2015,73841
28-10-2015,74249
29-10-2015,70572
30-10-2015,81174
31-10-2015,98651
01-11-2015,83827
02-11-2015,80162
03-11-2015,92896
04-11-2015,85572
05-11-2015,78103
06-11-2015,79994
07-11-2015,96498
08-11-2015,96692
09-11-2015,78801
10-11-2015,77488
11-11-2015,77427
12-11-2015,72788
13-11-2015,80292
14-11-2015,96119
15-11-2015,96807
16-11-2015,80136
17-11-2015,76290
18-11-2015,78369
19-11-2015,74410
20-11-2015,83456
21-11-2015,94660
22-11-2015,93697
23-11-2015,78586
24-11-2015,76930
25-11-2015,79328
26-11-2015,74586
27-11-2015,83890
28-11-2015,95616
29-11-2015,99517
30-11-2015,85256
01-12-2015,87991
02-12-2015,88508
03-12-2015,84532
04-12-2015,87033
05-12-2015,100637
06-12-2015,100258
07-12-2015,88424
08-12-2015,83706
09-12-2015,86615
10-12-2015,83880
11-12-2015,89351
12-12-2015,103409
13-12-2015,100875
14-12-2015,88540
15-12-2015,89726
16-12-2015,95973
17-12-2015,98732
18-12-2015,101639
19-12-2015,123810
20-12-2015,120843
21-12-2015,124711
22-12-2015,138921
23-12-2015,153338
24-12-2015,171169
26-12-2015,113594
27-12-2015,93020
28-12-2015,95257
29-12-2015,104623
30-12-2015,118947
31-12-2015,131826
02-01-2016,69628
04-01-2016,17829
05-01-2016,89018
06-01-2016,88846
07-01-2016,80412
08-01-2016,83344
09-01-2016,100975
10-01-2016,97323
11-01-2016,80506
12-01-2016,77696
13-01-2016,76217
14-01-2016,74909
15-01-2016,83105
16-01-2016,99698
17-01-2016,95155
18-01-2016,81486
19-01-2016,76092
20-01-2016,82989
21-01-2016,74141
22-01-2016,79760
23-01-2016,95634
24-01-2016,89786
25-01-2016,76042
26-01-2016,75639
27-01-2016,76912
28-01-2016,73110
29-01-2016,81081
30-01-2016,98201
31-01-2016,95671
01-02-2016,87827
02-02-2016,84928
03-02-2016,84704
04-02-2016,82446
05-02-2016,89355
06-02-2016,100641
07-02-2016,78884
08-02-2016,75047
09-02-2016,79222
10-02-2016,86720
11-02-2016,81444
12-02-2016,87451
13-02-2016,101849
14-02-2016,99462
15-02-2016,83293
16-02-2016,81192
17-02-2016,80996
18-02-2016,74797
19-02-2016,82564
20-02-2016,95533
21-02-2016,91533
22-02-2016,79775
23-02-2016,77672
24-02-2016,78364
25-02-2016,74029
26-02-2016,80200
27-02-2016,95659
28-02-2016,90059
29-02-2016,80152
01-03-2016,87759
02-03-2016,88779
03-03-2016,79787
04-03-2016,86493
05-03-2016,102170
06-03-2016,95178
07-03-2016,84681
08-03-2016,84111
09-03-2016,79580
10-03-2016,76879
11-03-2016,82962
12-03-2016,97275
13-03-2016,90435
14-03-2016,78924
15-03-2016,79651
16-03-2016,81758
17-03-2016,76268
18-03-2016,83179
19-03-2016,96783
20-03-2016,89769
21-03-2016,81185
22-03-2016,77409
23-03-2016,82331
24-03-2016,86834
25-03-2016,78832
26-03-2016,91232
27-03-2016,82305
28-03-2016,76647
29-03-2016,75782
30-03-2016,75656
31-03-2016,77024
01-04-2016,89055
02-04-2016,104451
03-04-2016,103230
04-04-2016,85017
05-04-2016,82629
06-04-2016,81402
07-04-2016,76736
08-04-2016,83533
09-04-2016,97454
10-04-2016,91977
11-04-2016,77860
12-04-2016,82484
13-04-2016,79657
14-04-2016,74291
15-04-2016,82751
16-04-2016,90313
17-04-2016,93018
18-04-2016,103559
19-04-2016,99289
20-04-2016,95079
21-04-2016,85533
22-04-2016,86662
23-04-2016,100468
24-04-2016,93993
25-04-2016,78301
26-04-2016,77218
27-04-2016,77369
28-04-2016,72957
29-04-2016,82711
30-04-2016,102800
01-05-2016,102012
02-05-2016,85259
03-05-2016,85500
04-05-2016,86207
05-05-2016,82198
06-05-2016,91159
07-05-2016,118222
08-05-2016,97132
09-05-2016,82043
10-05-2016,78194
11-05-2016,80761
12-05-2016,76099
13-05-2016,82265
14-05-2016,97755
15-05-2016,95910
16-05-2016,81129
17-05-2016,78372
18-05-2016,74552
19-05-2016,74826
20-05-2016,84185
21-05-2016,97053
22-05-2016,93629
23-05-2016,79595
24-05-2016,74225
25-05-2016,75039
26-05-2016,74328
27-05-2016,88580
28-05-2016,89086
29-05-2016,87606
30-05-2016,80249
31-05-2016,92987
01-06-2016,88574
02-06-2016,79393
03-06-2016,84747
04-06-2016,100607
05-06-2016,97418
06-06-2016,80840
07-06-2016,78126
08-06-2016,79997
09-06-2016,73785
10-06-2016,80306
11-06-2016,93473
12-06-2016,89740
13-06-2016,76448
14-06-2016,75874
15-06-2016,79905
16-06-2016,80605
17-06-2016,85614
18-06-2016,107418
19-06-2016,92469
20-06-2016,80226
21-06-2016,78278
22-06-2016,77260
23-06-2016,72356
24-06-2016,78517
25-06-2016,91094
26-06-2016,88209
27-06-2016,75781
28-06-2016,73787
29-06-2016,76350
30-06-2016,73866
01-07-2016,89711
02-07-2016,101902
03-07-2016,96041
04-07-2016,84992
05-07-2016,82089
06-07-2016,83135
07-07-2016,76107
08-07-2016,83553
09-07-2016,94026
10-07-2016,88752
11-07-2016,78942
12-07-2016,76267
13-07-2016,76173
14-07-2016,73094
15-07-2016,82144
16-07-2016,94503
17-07-2016,87873
18-07-2016,80328
19-07-2016,77023
20-07-2016,81266
21-07-2016,74264
22-07-2016,80531
23-07-2016,91301
24-07-2016,85106
25-07-2016,79203
26-07-2016,76524
27-07-2016,77731
28-07-2016,71935
29-07-2016,82140
30-07-2016,96249
31-07-2016,91182
01-08-2016,87637
02-08-2016,85044
03-08-2016,84532
04-08-2016,78516
05-08-2016,84616
06-08-2016,93146
07-08-2016,87403
08-08-2016,81072
09-08-2016,77133
10-08-2016,79006
11-08-2016,77945
12-08-2016,83425
13-08-2016,84685
14-08-2016,78472
15-08-2016,81379
16-08-2016,81063
17-08-2016,81405
18-08-2016,75159
19-08-2016,82021
20-08-2016,91798
21-08-2016,87188
22-08-2016,80624
23-08-2016,78531
24-08-2016,78434
25-08-2016,73746
26-08-2016,79541
27-08-2016,87841
28-08-2016,83646
29-08-2016,75798
30-08-2016,75043
31-08-2016,80262
01-09-2016,80863
02-09-2016,88068
03-09-2016,99611
04-09-2016,93135
05-09-2016,83275
06-09-2016,83504
07-09-2016,79719
08-09-2016,75262
09-09-2016,79604
10-09-2016,94115
11-09-2016,91610
12-09-2016,77125
13-09-2016,74032
14-09-2016,73096
15-09-2016,74741
16-09-2016,80789
17-09-2016,94298
18-09-2016,92375
19-09-2016,76255
20-09-2016,76572
21-09-2016,76260
22-09-2016,71282
23-09-2016,78422
24-09-2016,90980
25-09-2016,87687
26-09-2016,75050
27-09-2016,68375
28-09-2016,72772
29-09-2016,68972
30-09-2016,79125
01-10-2016,103065
02-10-2016,99386
03-10-2016,84086
04-10-2016,79380
05-10-2016,79403
06-10-2016,73892
07-10-2016,79737
08-10-2016,94142
09-10-2016,93562
10-10-2016,77691
11-10-2016,73298
12-10-2016,73721
13-10-2016,70643
14-10-2016,79146
15-10-2016,92768
16-10-2016,93951
17-10-2016,76614
18-10-2016,73632
19-10-2016,72931
20-10-2016,73196
21-10-2016,78245
22-10-2016,89857
23-10-2016,90866
24-10-2016,73354
25-10-2016,73074
26-10-2016,72818
27-10-2016,71506
28-10-2016,76876
29-10-2016,90428
30-10-2016,88744
31-10-2016,75988
01-11-2016,85050
02-11-2016,90454
03-11-2016,82525
04-11-2016,85762
05-11-2016,88820
06-11-2016,92150
07-11-2016,83114
08-11-2016,79917
09-11-2016,80077
10-11-2016,72768
11-11-2016,78815
12-11-2016,92716
13-11-2016,98409
14-11-2016,77317
15-11-2016,76651
16-11-2016,81603
17-11-2016,74999
18-11-2016,81854
19-11-2016,94791
20-11-2016,96368
21-11-2016,81536
22-11-2016,80748
23-11-2016,82390
24-11-2016,76479
25-11-2016,86981
26-11-2016,96748
27-11-2016,95628
28-11-2016,79717
29-11-2016,74449
30-11-2016,80680
01-12-2016,84647
02-12-2016,86775
03-12-2016,102429
04-12-2016,103907
05-12-2016,88947
06-12-2016,92700
07-12-2016,88699
08-12-2016,82550
09-12-2016,90723
10-12-2016,100618
11-12-2016,101077
12-12-2016,86093
13-12-2016,85927
14-12-2016,89417
15-12-2016,91525
16-12-2016,99717
17-12-2016,114465
18-12-2016,116289
19-12-2016,106760
20-12-2016,116392
21-12-2016,132060
22-12-2016,138892
23-12-2016,156932
24-12-2016,167542
26-12-2016,105524
27-12-2016,95643
28-12-2016,103717
29-12-2016,102665
30-12-2016,127771
31-12-2016,135568
